rep,split,block,stat,df,p_chi2,reject
12,test,A2_outcome_clarity,0.8100542706551298,2,0.6669587124697877,False
12,test,A2_outcome_len,1.2393281179941975,2,0.5381251855471696,False
12,test,A2_outcome_full,4.661522681227224,6,0.5878982159059705,False
12,test,A5_outcome|A2_outcome_full,0.3949220211132416,2,0.820812143012418,False
13,train,A5_outcome_base,0.1861373225767216,2,0.9111309387242679,False
13,train,A2_outcome_disc,3.5258750218896395,2,0.171540221711312,False
13,train,A2_outcome_clarity,5.320672732021339,2,0.06992469749695418,False
13,train,A2_outcome_len,2.4851293509022296,2,0.28864299224731793,False
13,train,A2_outcome_full,17.040137409126125,6,0.009136859842719391,True
13,train,A5_outcome|A2_outcome_full,1.0795809293063818,2,0.5828703715248456,False
13,test,A5_outcome_base,0.5890490752377686,2,0.7448856683967126,False
13,test,A2_outcome_disc,6.588381066920284,2,0.03709806253680081,True
13,test,A2_outcome_clarity,4.035495787338687,2,0.13295455595864003,False
13,test,A2_outcome_len,2.014693094683806,2,0.36518670072433423,False
13,test,A2_outcome_full,9.540786759889286,6,0.14537046676049736,False
13,test,A5_outcome|A2_outcome_full,0.5064212528016423,2,0.7763043544106358,False
14,train,A5_outcome_base,5.238476436723899,2,0.07285834384106071,False
14,train,A2_outcome_disc,4.236991772632542,2,0.12021230557173757,False
14,train,A2_outcome_clarity,10.792590776561958,2,0.004533344152723107,True
14,train,A2_outcome_len,0.34860009095136085,2,0.8400448081971033,False
14,train,A2_outcome_full,19.1435796463192,6,0.003927897286872817,True
14,train,A5_outcome|A2_outcome_full,3.5785558353232205,2,0.16708077219400896,False
14,test,A5_outcome_base,0.40153558801881484,2,0.8181023777727178,False
14,test,A2_outcome_disc,5.08860568206995,2,0.07852777924700749,False
14,test,A2_outcome_clarity,0.5463147576062841,2,0.7609730171818492,False
14,test,A2_outcome_len,0.00951054828587607,2,0.9952560142728902,False
14,test,A2_outcome_full,11.36426936503048,6,0.07774989976411317,False
14,test,A5_outcome|A2_outcome_full,1.8437060816450939,2,0.3977812528198247,False
15,train,A5_outcome_base,5.814836493669067,2,0.05461655446617364,False
15,train,A2_outcome_disc,1.5158117396564212,2,0.46864680754899846,False
15,train,A2_outcome_clarity,1.2914434508507933,2,0.5242840164224374,False
15,train,A2_outcome_len,0.5427290535492728,2,0.7623385529353424,False
15,train,A2_outcome_full,5.250011981311909,6,0.5121702245237592,False
15,train,A5_outcome|A2_outcome_full,1.1569543329073508,2,0.5607516481185288,False
15,test,A5_outcome_base,1.393671599583472,2,0.49815908768366557,False
15,test,A2_outcome_disc,0.38270367662058963,2,0.8258419741848605,False
15,test,A2_outcome_clarity,1.0279095226612984,2,0.5981254518502742,False
15,test,A2_outcome_len,4.1181412147673075,2,0.12757247973592023,False
15,test,A2_outcome_full,10.036114557397543,6,0.12313937281140963,False
15,test,A5_outcome|A2_outcome_full,1.5507660896750806,2,0.46052734458770417,False
16,train,A5_outcome_base,3.2006960423324644,2,0.20182626595831155,False
16,train,A2_outcome_disc,2.423104486791087,2,0.29773476373365837,False
16,train,A2_outcome_clarity,3.1368085987865504,2,0.20837742519028102,False
16,train,A2_outcome_len,1.468855065071639,2,0.47978003883557374,False
16,train,A2_outcome_full,15.471646437786795,6,0.016889088902886318,True
16,train,A5_outcome|A2_outcome_full,1.9615096435991997,2,0.37502791274332414,False
16,test,A5_outcome_base,0.5224832917892397,2,0.7700948068807448,False
16,test,A2_outcome_disc,0.18764296541117287,2,0.9104452779621353,False
16,test,A2_outcome_clarity,0.3389724500814278,2,0.8440983818211223,False
16,test,A2_outcome_len,0.43329124476681946,2,0.8052152690179761,False
16,test,A2_outcome_full,3.6164439658841254,6,0.7284183781121392,False
16,test,A5_outcome|A2_outcome_full,1.924426299543432,2,0.38204642369132946,False
17,train,A5_outcome_base,9.622852889045257,2,0.008136245513307272,True
17,train,A2_outcome_disc,14.208663637644083,2,0.0008215384484674404,True
17,train,A2_outcome_clarity,3.150528676827044,2,0.206952839864758,False
17,train,A2_outcome_len,0.27383906021584753,2,0.8720403963053552,False
17,train,A2_outcome_full,17.79633372606804,6,0.006761842870626422,True
17,train,A5_outcome|A2_outcome_full,1.8960892825938638,2,0.3874979807008354,False
17,test,A5_outcome_base,0.4583355148736868,2,0.7951951224195285,False
17,test,A2_outcome_disc,0.002584925137415696,2,0.9987083723013197,False
17,test,A2_outcome_clarity,0.9742641525374535,2,0.6143858817908526,False
17,test,A2_outcome_len,4.4939650738911,2,0.10571774314529814,False
17,test,A2_outcome_full,5.986291593832391,6,0.42472746208398426,False
17,test,A5_outcome|A2_outcome_full,0.16861027101919945,2,0.9191507477689561,False
18,train,A5_outcome_base,2.0323015739203076,2,0.361985621716582,False
18,train,A2_outcome_disc,14.684007916169602,2,0.0006477511532793079,True
18,train,A2_outcome_clarity,8.755848624145921,2,0.012551384358055695,True
18,train,A2_outcome_len,1.581471714527311,2,0.45351095313832257,False
18,train,A2_outcome_full,20.83554164333672,6,0.0019636808941487782,True
18,train,A5_outcome|A2_outcome_full,3.830303119628033,2,0.14731950317758158,False
18,test,A5_outcome_base,0.1244559843948044,2,0.9396686252523363,False
18,test,A2_outcome_disc,0.8403171739133034,2,0.6569426290213934,False
18,test,A2_outcome_clarity,6.309234498876136,2,0.04265472398821135,True
18,test,A2_outcome_len,1.6157517433081514,2,0.44580400614455173,False
18,test,A2_outcome_full,11.466744818006966,6,0.07497874014855188,False
18,test,A5_outcome|A2_outcome_full,1.8093851713386275,2,0.4046662661931475,False
19,train,A5_outcome_base,7.5846144153305595,2,0.02254352919963909,True
19,train,A2_outcome_disc,0.5879955312066547,2,0.7452781566884618,False
19,train,A2_outcome_clarity,2.0422820595252547,2,0.36018372526292874,False
19,train,A2_outcome_len,0.06338904622535438,2,0.9688024836484869,False
19,train,A2_outcome_full,9.81647435433128,6,0.13259649001140927,False
19,train,A5_outcome|A2_outcome_full,2.327204522778831,2,0.31235895322037477,False
19,test,A5_outcome_base,2.8250040818106847,2,0.2435331902292246,False
19,test,A2_outcome_disc,0.8566952535549773,2,0.651584867076384,False
19,test,A2_outcome_clarity,0.724590977099075,2,0.6960766547692543,False
19,test,A2_outcome_len,1.8092564184877555,2,0.4046923179994114,False
19,test,A2_outcome_full,2.9603776176604706,6,0.813803190246501,False
19,test,A5_outcome|A2_outcome_full,2.2967971986582763,2,0.3171442379357504,False
